# ----------------------------------------
# 樂多商城全網域
# 銷售業績
# 20150819-20150824
# ----------------------------------------

交易編號,來源/媒介,收益,稅金,運費,退款金額,數量
ON400831508213301597,m.feebee.com.tw / referral,"NT$8,200.00",NT$10.00,NT$100.00,NT$0.00,6
ON400781508198401403,findprice.com.tw / referral,"NT$7,998.00",NT$10.00,NT$0.00,NT$0.00,2
ON300341508243501760,feebee.com.tw / referral,"NT$7,980.00",NT$10.00,NT$0.00,NT$0.00,2
ON200781508236601724,findprice.com.tw / referral,"NT$7,399.00",NT$10.00,NT$0.00,NT$0.00,1
ON500761508234301722,nccnet-ec.nccc.com.tw / referral,"NT$7,188.00",NT$10.00,NT$0.00,NT$0.00,1
ON800511508238101697,(direct) / (none),"NT$7,188.00",NT$10.00,NT$0.00,NT$0.00,1
ON300331508219901547,facebook.com / referral,"NT$6,490.00",NT$10.00,NT$0.00,NT$0.00,1
ON400251508207001448,findprice.com.tw / referral,"NT$6,490.00",NT$10.00,NT$0.00,NT$0.00,1
ON500651508212301579,feebee.com.tw / referral,"NT$6,300.00",NT$10.00,NT$0.00,NT$0.00,1
ON400231508208001446,findprice.com.tw / referral,"NT$6,190.00",NT$10.00,NT$0.00,NT$0.00,1
ON500731508207101496,findprice.com.tw / referral,"NT$5,950.00",NT$10.00,NT$0.00,NT$0.00,1
ON400531508198601378,findprice.com.tw / referral,"NT$5,450.00",NT$10.00,NT$0.00,NT$0.00,1
ON700671508199701392,findprice.com.tw / referral,"NT$5,104.00",NT$10.00,NT$0.00,NT$0.00,1
ON300481508190301373,findprice.com.tw / referral,"NT$4,400.00",NT$10.00,NT$0.00,NT$0.00,1
ON500711508203901494,findprice.com.tw / referral,"NT$4,050.00",NT$10.00,NT$0.00,NT$0.00,3
ON000391508195301364,findprice.com.tw / referral,"NT$3,999.00",NT$10.00,NT$0.00,NT$0.00,1
ON200461508240501772,google / organic,"NT$3,990.00",NT$10.00,NT$0.00,NT$0.00,1
ON300451508249201771,acq.esunbank.com.tw / referral,"NT$3,990.00",NT$10.00,NT$0.00,NT$0.00,1
ON700181508214701532,(direct) / (none),"NT$3,990.00",NT$10.00,NT$0.00,NT$0.00,1
ON900471508241701773,acq.esunbank.com.tw / referral,"NT$3,990.00",NT$10.00,NT$0.00,NT$0.00,1
ON900141508249501740,m.feebee.com.tw / referral,"NT$3,532.00",NT$20.00,NT$0.00,NT$0.00,4
ON300011508214701515,m.facebook.com / referral,"NT$3,344.00",NT$10.00,NT$0.00,NT$0.00,1
ON500071508194301332,facebook.com / referral,"NT$3,344.00",NT$10.00,NT$0.00,NT$0.00,1
