TransactionCode ,MediaSource ,Revenue ,Tax ,ShippingFee ,Refund ,Amount
ON700381508185801258,google / organic,8926,10,400,0,3
ON400781508198401403,findprice.com.tw / referral,7998,10,0,0,2
ON100011508167701056,findprice.com.tw / referral,6190,10,0,0,1
ON400531508198601378,findprice.com.tw / referral,5450,10,0,0,1
ON700671508199701392,findprice.com.tw / referral,5104,10,0,0,1
ON300481508190301373,findprice.com.tw / referral,4400,10,0,0,1
ON000391508195301364,findprice.com.tw / referral,3999,10,0,0,1
ON500571508182801277,(direct) / (none),3990,10,0,0,1
ON500811508186601301,m.facebook.com / referral,3990,10,0,0,1
ON700391508167601094,nccnet-ec.nccc.com.tw / referral,3990,10,0,0,1
ON600501508184601270,google / organic,3756,10,0,0,6
ON700171508162801072,m.feebee.com.tw / referral,3752,10,0,0,1
ON700151508173801127,findprice.com.tw / referral,3701,10,0,0,1
ON700061508153801024,findprice.com.tw / referral,3640,10,100,0,3
ON200181508186001238,m.findprice.com.tw / referral,3492,10,0,0,1
ON500071508194301332,facebook.com / referral,3344,10,0,0,1
ON200921508196601417,findprice.com.tw / referral,3240,10,0,0,2
ON400351508171301147,findprice.com.tw / referral,2950,10,0,0,1
ON900451508183001265,m.feebee.com.tw / referral,2838,10,0,0,2
ON600191508175501131,(direct) / (none),2535,10,0,0,3
ON100471508163501102,facebook.com / referral,2528,10,0,0,2
ON100171508153401035,feebee.com.tw / referral,2512,20,200,0,2
ON100251508156301043,(direct) / (none),2325,10,0,0,3
ON000731508186901293,m.feebee.com.tw / referral,2150,10,0,0,2
ON500881508176701200,yahoo / organic,2042,10,0,0,1
ON900311508193701356,findprice.com.tw / referral,2042,10,0,0,1
ON500741508193001399,feebee.com.tw / referral,1769,10,0,0,1
ON800441508190401369,findprice.com.tw / referral,1760,10,0,0,1
ON400371508181301257,(direct) / (none),1758,10,0,0,3
ON200651508192101390,findprice.com.tw / referral,1664,10,400,0,1
ON900441508173401156,Babyhome / forum,1620,10,0,0,3
ON901061508176701218,(direct) / (none),1520,10,0,0,2
ON900541508175501166,facebook.com / referral,1447,10,0,0,3
ON200031508181101223,facebook.com / referral,1431,10,0,0,4
ON300791508187801299,blu181.mail.live.com / referral,1419,10,0,0,1
ON900041508196601329,m.findprice.com.tw / referral,1419,10,0,0,1
ON700291508177201141,(direct) / (none),1410,10,0,0,2
ON600701508185801290,findprice.com.tw / referral,1360,10,0,0,2
ON800231508187301243,feebee.com.tw / referral,1332,10,0,0,2
ON400801508197201405,findprice.com.tw / referral,1320,10,0,0,5
ON400901508189001310,feebee.com.tw / referral,1320,10,70,0,1
ON100011508181801221,m.facebook.com / referral,1299,10,0,0,1
ON400481508162101103,feebee.com.tw / referral,1280,10,0,0,1
ON100601508172801172,m.feebee.com.tw / referral,1260,10,0,0,1
ON500461508197901371,findprice.com.tw / referral,1256,10,100,0,1
ON100221508190701347,feebee.com.tw / referral,1242,10,0,0,1
ON900231508193001348,feebee.com.tw / referral,1242,10,0,0,1
ON100281508186501248,feebee.com.tw / referral,1235,10,0,0,1
ON500871508170701199,(direct) / (none),1224,10,0,0,1
ON300761508191001401,findprice.com.tw / referral,1200,10,0,0,1
ON900081508180001228,m.feebee.com.tw / referral,1198,10,0,0,2
ON600431508187701263,m.findprice.com.tw / referral,1189,10,0,0,1
ON500771508181201297,findprice.com.tw / referral,1138,10,0,0,2
ON100961508180501316,m.findprice.com.tw / referral,1136,10,0,0,4
ON300271508186901247,feebee.com.tw / referral,1136,10,0,0,4
ON400441508162401099,m.feebee.com.tw / referral,1136,10,0,0,4
ON401001508185401320,feebee.com.tw / referral,1080,10,0,0,6
ON400701508199701395,findprice.com.tw / referral,1014,10,0,0,3
ON500051508175801116,feebee.com.tw / referral,949,10,0,0,1
ON500331508162501088,(direct) / (none),949,10,0,0,1
ON100571508194501382,(direct) / (none),899,10,0,0,1
ON300481508181401268,m.facebook.com / referral,899,10,0,0,1
ON300071508173701118,(direct) / (none),894,10,0,0,6
ON500991508182801319,m.facebook.com / referral,858,10,80,0,2
ON600391508179701151,findprice.com.tw / referral,855,10,0,0,1
